run,feasibility_reached,feasibility_reached__reason,scv_comparable_to_published,scv_comparable_to_published__reason,timing_trustworthy,timing_trustworthy__reason,code_provenance_clean,code_provenance_clean__reason,replicates_present,replicates_present__reason
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,True,9 feasible candidate(s) recorded,True,run has an HCV=0 solution; its SCV is over the full exam set and comparable to published 4.32,True,no runaway calls; run finished cleanly,False,built from dirty tree at 8bfda5177179,False,"1 run(s) in this (instance, temperature, commit) cell"
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,True,25 feasible candidate(s) recorded,True,run has an HCV=0 solution; its SCV is over the full exam set and comparable to published 4.32,True,no runaway calls; run finished cleanly,False,built from dirty tree at 8bfda5177179,False,"1 run(s) in this (instance, temperature, commit) cell"
results/temperature/T_0.6/car-f-92-20260831T162127Z-seed1001,True,29 feasible candidate(s) recorded,True,run has an HCV=0 solution; its SCV is over the full exam set and comparable to published 4.32,True,no runaway calls; run finished cleanly,False,built from dirty tree at 8bfda5177179,False,"1 run(s) in this (instance, temperature, commit) cell"
results/temperature/T_0.8/car-f-92-20260831T171116Z-seed1001,True,11 feasible candidate(s) recorded,True,run has an HCV=0 solution; its SCV is over the full exam set and comparable to published 4.32,True,no runaway calls; run finished cleanly,False,built from dirty tree at 8bfda5177179,False,"1 run(s) in this (instance, temperature, commit) cell"
